组名,标题意图,其他问法1,其他问法2,其他问法3,内容
名词解释,普通用户和高级用户的区别,,,,"普通用户和高级用户的区别：注册即成为普通用户，高级用户需另外申请。
普通用户：
速度：验证码类短信的接收速度在10s左右。
频率限制：走共享通道，频率受运营商限制。
验证码短信，同一号码1小时内只能接受3条；通知类短信，24小时之内只能接受20条，超出则会接受失败。
短信内容：只能发送验证码及系统通知类短信。

高级用户：
速度：验证码类短信的接收速度在5s左右。
发送频率：走专用通道，频率不受运营商限制。
短信内容：可以发送验证码、系统通知及会员营销类短信。

如果对短信频率有较高要求，以及需要发送营销短信的用户请于左侧菜单栏，设置-申请高级用户"
名词解释,签名,,,,短信签名是加在短信的开头，由【】加上您的公司名称或店铺名称的标识符，例如：【云片网络】。 根据电信基础运营商的规定，每条短信前必须附加短信签名，否则将无法正常发送。
名词解释,地址,,,,"""地址：杭州市西湖区紫霞街176号互联网创新创业园1号楼10层
前台电话：0571-89936848"""
名词解释,轰炸后处理,,,,"1、碰到轰炸，首先要：确认轰炸/攻击来源，判断是哪个注册入口遭到攻击
2、基础防范措施:
A、同一个号码单位时间内发送次数限制
B、同IP请求次数判断与限制
C、同设备请求次数判断与限制
3、对请求的增加效验机制：
A、PC端，微信端图片验证码，程序前后端需进行效验，并且满足“填错或不填图片验证码，不允许用户获取短信验证码”的逻辑
B、对请求增加其他效验机制，例如APP端增加版本号效验等等。
4、限制用户请求来源：
微信端、APP端的注册入口，需要对来自PC端的请求做限制和过滤，主要是大多数恶意程序都是来自PC端的。"
名词解释,赢家限制,,,,"1.相同内容同一号码24小时内能收5条
2.不同内容（验证类短信）同一号码24小时内30条的限制"
名词解释,防骚扰机制,,,,同一手机号相同内容30秒内不重复，5分钟内3条
名词解释,有效的图片验证码,,,,"第一次输入手机号--输入图片验证码--获取短信验证码
第二次换一个手机号输入--不输入图片验证码（依旧是第一次输入的那个) ---直接可以获取到验证码
有效的图片验证码需要符合：
点击获取验证码按钮之后，旧的图片验证码需要立即更换。"
名词解释,语音验证码限制,,,,"语音验证码限制是语音验证码：
同一被叫号码30秒内最多发送1条
同一被叫号码10分钟内最多发送3条
同一被叫号码1天内最多发送5条"
名词解释,400电话,,,,电话：400-089-2617
名词解释,您好，有什么可以帮您的吗,,,,您好，有什么可以帮您的吗？
发票及充值,支付宝,,,,"""支付宝：
pay@yunpian.com 
杭州云片网络科技有限公司"""
发票及充值,对公账号,,,,"""对公账号：
户名：杭州云片网络科技有限公司
开户行：招商银行股份有限公司杭州城西支行
账号：571907256210702

充值之后可在云片账户左下方【财务】--【线下充值】提交凭证，财务审核后会立即到账。"""
发票及充值,发票申请,,,,发票申请：一次性充值200元以上，申请的对应金额发票包邮，200元以下邮费自理，默认顺丰到付。
发票及充值,发票寄送,,,,发票：每周一周四寄送，每月25日后不开票，顺延至次月，增票和普票二选一，类型是开：技术服务费，信息服务费。
发票及充值,问题发票处理流程,,,,"""1、寄回问题发票，附带拒收证明（拒绝到付）
地址：杭州市西湖区紫霞街176号互联网创新创业园1号楼10层
，佳妍，15088676481
2、转7元快递费至支付宝账户：pay@yunpian.com
3、收到发票后我联系您，重新提交正确的发票信息，重新开具。
4.里面放张小纸条说明寄回发票的a.原因：改的话，哪里需要修改，b.用户寄回去的收件信息，"""
发票及充值,云片发票信息,,,,"云片发票信息：
名称：杭州云片网络科技有限公司
纳税人识别号：91330106067857586W
地址、电话：杭州市西湖区紫霞街176号互联网1号楼1001-8室 0571-89936848
开户行及账号：招商银行股份有限公司杭州城西支行 571907256210702"
发票及充值,发票开的项目,,,,"技术服务费or信息服务费
"
用户发邮件,更改密保手机/账号等,,,," 
账户变更信息/账户密保手机号变更（两者选一下自己的需求）：本人云片账号是：****本公司因***，需要将账户：*** 变更为账户：*** ，账户内后续出现任何问题，由本公司承担。
请附上登陆云片账户后台的页面（证明此账户是您拥有的）
填好之后发邮件到：qinchenyang@taovip.com，并抄送给taoting@yunpian.com。
注：请用公司邮箱地址发送邮件。
"
我的回复,结束语1,,,,"亲，这边如果没有问题就结束对话了哟，祝您事事顺心~
"
我的回复,稍等,,,,"好的， 帮您再后台查一下，请您稍等
"
我的回复,账号,,,,"您好，请提供下您的云片账号
"
我的回复,内容,,,,"您提供下短信内容，帮您看下
"
我的回复,模板,,,,"您好，请提供您的模板ID
"
我的回复,对象,,,,"请问您的发送背景和对象是？
"
我的回复,行业,,,," 请问您是什么行业， 发送什么短信呢？ 
"
我的回复,结束语2,,,," 亲，这边如果没有其他问题就结束对话了哟，如有问题欢迎在线咨询哦~ 
"
我的回复,请问,,,,"请问您还有什么问题吗？
"
我的回复,抱歉,,,," 抱歉， 这个运营商不给发 
"
我的回复,客气,,,,"不客气哟
"
我的回复,联系商务,,,,麻烦您提供一下：1/公司名；2/所在地区；3/您的联系方式+姓名
特殊回复,语音限制,,,,语音中青：单号码单产品每天10次，22点-早上7点3次，同一被叫号码30秒内最多发送1条，同一被叫号码10分钟内最多发送2条。同一被叫号码1天内最多发送3条
特殊回复,报错code_5,,,,"到记录-失败请求记录里找到失败提示，把text里面的内容复制一下 到国内短信-签名模板 报备，找到该条匹配
"
特殊回复,高级用户,,,,高级用户没有别的要求，也不另收费，只要您是企业就可以申请，就是会有个每月最低消费6000条短信（300元）的协议。成为高级用户之后，每月月初会冻结您6000条短信，到月末如果用不完，就直接扣除剩余部分。
特殊回复,密保手机变更,,,,"账户变更信息/账户密保手机号变更（两者选一下自己的需求）：本公司（云片账号：******）因***原因需要将账户/密保手机号：*** 变更为新的账户/密保手机号：*** ，账户内后续出现任何问题，由本公司承担。
再附上云片管理后台的首页完整截图（证明这个账户是您一直在使用的)，填好之后发邮件到：taoting@yunpian.com并抄送给jiayan@yunpian.com;
处理时效：一个工作日
"
特殊回复,A类黑名单解除,,,,A类黑名单：本人确保本机不再以任何形式投诉及退订106开头的短信。同时申请开通【XX】签名。 发到18106530601
特殊回复,凡科建站教程,,,,凡科建站教程：http://jz.faisco.com/blog/3429
特殊回复,高级用户号码不固定,,,,通道本身是”一主一备“的，正常情况下不会做切换，当某条通道出现异常的时候，会切换至备用通道。主备2条通道的号码本身是固定的。
特殊回复,退款打款账户不一致,,,,"如果您退款的支付宝不是您打款的账户的话，那么您用您公司账户的邮箱发邮件说明退款金额，原因和云片后台截图给qiuxiaojuan@yunpian.com抄送xiaojun@taovip.com
"
特殊回复,接受成功但是客户没收到短信,,,,"状态返回成功说明信息已发送至用户手机客户端；
成功状态收不到不排除是用户手机安装了如360等安全软件导致信息被拦截，用户可检查手机 如被拦截可重新设置接收；有时手机收件箱或内存太满、信号低或不在服务区内等情况也会导致用户接收信息异常"
特殊回复,云片IP和端口多少,,,,"IP和端口
116.211.167.253
118.178.213.2
218.11.3.13

端口：
http -> 80
https -> 443"
特殊回复,批量发送的并发量多少,,,,大于等于500次/s的并发，5000只要10s，甚至更短
特殊回复,为什么我测试的时候ASPIKEY参数总是缺失,,,,"亲是用的谷歌自带的postman工具吗？postman是用网页请求，这种请求都是用nodejs写的，所以这边类型要选，x-www-form-urlencoded
"
特殊回复,PHP_demo,,,,"https://www.yunpian.com/doc/zh_CN/introduction/demos/
"
特殊回复,SDK_报错,,,," 建议您参考如下方式修改: 
public static JArray strToObj(string str)        
{             
    if (str.StartsWith(""{""))             
    {                
        string[] strArr = { ""["", str, ""]"" };                 
        str = string.Concat(strArr);             
    }   
    JArray json = (JArray)JsonConvert.DeserializeObject(str);                        
    return json;         
} "
特殊回复,用户反馈报错400,,,,"用户反馈报错400技术反馈：正常格式应该是{""http_status_code"":400,""code"":2,""msg"":""请求参数格式错误"",""detail"":""参数 text 格式不正确，text短信内容头部需要加签名,如【云片网】""}，建议把这一串值打印出来看看怎么解析，还需要进一步请求"
特殊回复,报错415,,,,报错415：需要设置请求的HTTP头信息为：Accept:application/json;charset=utf-8;Content-Type:application/x-www-form-urlencoded;charset=utf-8;
